phase,layer,expert,samples,load_mean,load_std,cycles_mean,cycles_std,cycles_per_token_mean,cycles_per_token_std,cycles_per_token_min,cycles_per_token_max,cycles_per_token_cv
prefill,5,4,1,11.0,,45727565.0,,4157051.3636363638,,4157051.3636363638,4157051.3636363638,
prefill,5,5,1,14.0,,58296132.0,,4164009.4285714286,,4164009.4285714286,4164009.4285714286,
prefill,5,6,1,10.0,,41623763.0,,4162376.3,,4162376.3,4162376.3,
prefill,5,7,1,20.0,,83301132.0,,4165056.6,,4165056.6,4165056.6,
prefill,5,8,1,43.0,,178536119.0,,4152002.7674418604,,4152002.7674418604,4152002.7674418604,
prefill,5,9,1,6.0,,25035220.0,,4172536.6666666665,,4172536.6666666665,4172536.6666666665,
prefill,5,10,1,12.0,,49895583.0,,4157965.25,,4157965.25,4157965.25,
prefill,5,11,1,8.0,,33264504.0,,4158063.0,,4158063.0,4158063.0,
prefill,5,12,1,4.0,,16792914.0,,4198228.5,,4198228.5,4198228.5,
prefill,5,13,1,19.0,,79179467.0,,4167340.3684210526,,4167340.3684210526,4167340.3684210526,
prefill,5,14,1,9.0,,37570938.0,,4174548.6666666665,,4174548.6666666665,4174548.6666666665,
prefill,5,15,1,5.0,,21264974.0,,4252994.8,,4252994.8,4252994.8,
prefill,5,16,1,21.0,,87177700.0,,4151319.0476190476,,4151319.0476190476,4151319.0476190476,
prefill,5,17,1,6.0,,25358961.0,,4226493.5,,4226493.5,4226493.5,
prefill,5,18,1,9.0,,38298528.0,,4255392.0,,4255392.0,4255392.0,
prefill,5,19,1,7.0,,29491544.0,,4213077.714285715,,4213077.714285715,4213077.714285715,
prefill,5,20,1,12.0,,50077821.0,,4173151.75,,4173151.75,4173151.75,
prefill,5,21,1,10.0,,41818837.0,,4181883.7,,4181883.7,4181883.7,
prefill,5,22,1,9.0,,37577367.0,,4175263.0,,4175263.0,4175263.0,
prefill,5,23,1,2.0,,8539296.0,,4269648.0,,4269648.0,4269648.0,
prefill,5,24,1,56.0,,232929176.0,,4159449.5714285714,,4159449.5714285714,4159449.5714285714,
prefill,5,25,1,18.0,,74933756.0,,4162986.4444444445,,4162986.4444444445,4162986.4444444445,
prefill,5,26,1,23.0,,95446444.0,,4149845.3913043477,,4149845.3913043477,4149845.3913043477,
prefill,5,27,1,15.0,,62521609.0,,4168107.2666666666,,4168107.2666666666,4168107.2666666666,
prefill,5,28,1,9.0,,37697055.0,,4188561.6666666665,,4188561.6666666665,4188561.6666666665,
prefill,5,29,1,7.0,,29259689.0,,4179955.5714285714,,4179955.5714285714,4179955.5714285714,
prefill,5,30,1,31.0,,128515991.0,,4145677.129032258,,4145677.129032258,4145677.129032258,
prefill,5,31,1,16.0,,66423734.0,,4151483.375,,4151483.375,4151483.375,
prefill,6,0,1,14.0,,58470775.0,,4176483.9285714286,,4176483.9285714286,4176483.9285714286,
prefill,6,1,1,7.0,,29329144.0,,4189877.714285714,,4189877.714285714,4189877.714285714,
prefill,6,2,1,6.0,,25488636.0,,4248106.0,,4248106.0,4248106.0,
prefill,6,4,1,14.0,,58264270.0,,4161733.5714285714,,4161733.5714285714,4161733.5714285714,
prefill,6,5,1,10.0,,42034678.0,,4203467.8,,4203467.8,4203467.8,
prefill,6,6,1,19.0,,79293111.0,,4173321.6315789474,,4173321.6315789474,4173321.6315789474,
prefill,6,7,1,15.0,,62271149.0,,4151409.933333333,,4151409.933333333,4151409.933333333,
prefill,6,8,1,1.0,,4620495.0,,4620495.0,,4620495.0,4620495.0,
prefill,6,9,1,9.0,,37608459.0,,4178717.6666666665,,4178717.6666666665,4178717.6666666665,
prefill,6,10,1,4.0,,16801854.0,,4200463.5,,4200463.5,4200463.5,
prefill,6,11,1,8.0,,33244470.0,,4155558.75,,4155558.75,4155558.75,
prefill,6,12,1,39.0,,161855969.0,,4150153.0512820515,,4150153.0512820515,4150153.0512820515,
prefill,6,13,1,11.0,,45766774.0,,4160615.8181818184,,4160615.8181818184,4160615.8181818184,
prefill,6,14,1,22.0,,91711414.0,,4168700.6363636362,,4168700.6363636362,4168700.6363636362,
prefill,6,15,1,11.0,,45789953.0,,4162723.0,,4162723.0,4162723.0,
prefill,6,16,1,22.0,,91476627.0,,4158028.5,,4158028.5,4158028.5,
prefill,6,17,1,10.0,,41701277.0,,4170127.7,,4170127.7,4170127.7,
prefill,6,18,1,3.0,,12669947.0,,4223315.666666667,,4223315.666666667,4223315.666666667,
prefill,6,19,1,6.0,,25294524.0,,4215754.0,,4215754.0,4215754.0,
prefill,6,20,1,45.0,,186846197.0,,4152137.711111111,,4152137.711111111,4152137.711111111,
prefill,6,21,1,48.0,,199241865.0,,4150872.1875,,4150872.1875,4150872.1875,
prefill,6,22,1,1.0,,4621354.0,,4621354.0,,4621354.0,4621354.0,
prefill,6,23,1,18.0,,76173895.0,,4231883.055555556,,4231883.055555556,4231883.055555556,
prefill,6,24,1,4.0,,16877798.0,,4219449.5,,4219449.5,4219449.5,
prefill,6,25,1,13.0,,54126651.0,,4163588.5384615385,,4163588.5384615385,4163588.5384615385,
prefill,6,26,1,17.0,,71251110.0,,4191241.7647058824,,4191241.7647058824,4191241.7647058824,
prefill,6,27,1,24.0,,99696092.0,,4154003.8333333335,,4154003.8333333335,4154003.8333333335,
prefill,6,28,1,7.0,,29782779.0,,4254682.714285715,,4254682.714285715,4254682.714285715,
prefill,6,29,1,13.0,,54229408.0,,4171492.923076923,,4171492.923076923,4171492.923076923,
prefill,6,30,1,17.0,,70902721.0,,4170748.294117647,,4170748.294117647,4170748.294117647,
prefill,6,31,1,18.0,,74999888.0,,4166660.4444444445,,4166660.4444444445,4166660.4444444445,
prefill,7,0,1,24.0,,100798380.0,,4199932.5,,4199932.5,4199932.5,
prefill,7,1,1,24.0,,99826499.0,,4159437.4583333335,,4159437.4583333335,4159437.4583333335,
prefill,7,2,1,1.0,,4623967.0,,4623967.0,,4623967.0,4623967.0,
prefill,7,3,1,19.0,,79012183.0,,4158535.947368421,,4158535.947368421,4158535.947368421,
prefill,7,4,1,32.0,,132990290.0,,4155946.5625,,4155946.5625,4155946.5625,
prefill,7,5,1,4.0,,16881266.0,,4220316.5,,4220316.5,4220316.5,
prefill,7,6,1,7.0,,29170307.0,,4167186.714285714,,4167186.714285714,4167186.714285714,
prefill,7,7,1,9.0,,37651140.0,,4183460.0,,4183460.0,4183460.0,
prefill,7,9,1,1.0,,4626953.0,,4626953.0,,4626953.0,4626953.0,
prefill,7,10,1,9.0,,37560988.0,,4173443.111111111,,4173443.111111111,4173443.111111111,
prefill,7,11,1,4.0,,16765426.0,,4191356.5,,4191356.5,4191356.5,
prefill,7,12,1,4.0,,16766175.0,,4191543.75,,4191543.75,4191543.75,
prefill,7,13,1,43.0,,179802243.0,,4181447.511627907,,4181447.511627907,4181447.511627907,
prefill,7,14,1,26.0,,108657199.0,,4179123.0384615385,,4179123.0384615385,4179123.0384615385,
prefill,7,15,1,7.0,,29261326.0,,4180189.4285714286,,4180189.4285714286,4180189.4285714286,
prefill,7,16,1,35.0,,145340672.0,,4152590.6285714284,,4152590.6285714284,4152590.6285714284,
prefill,7,17,1,14.0,,58446662.0,,4174761.5714285714,,4174761.5714285714,4174761.5714285714,
prefill,7,18,1,10.0,,41622871.0,,4162287.1,,4162287.1,4162287.1,
prefill,7,21,1,3.0,,12646785.0,,4215595.0,,4215595.0,4215595.0,
prefill,7,22,1,14.0,,58213250.0,,4158089.285714286,,4158089.285714286,4158089.285714286,
prefill,7,23,1,38.0,,158105549.0,,4160672.3421052634,,4160672.3421052634,4160672.3421052634,
prefill,7,24,1,10.0,,41561771.0,,4156177.1,,4156177.1,4156177.1,
prefill,7,25,1,13.0,,54855010.0,,4219616.153846154,,4219616.153846154,4219616.153846154,
prefill,7,26,1,22.0,,91511540.0,,4159615.4545454546,,4159615.4545454546,4159615.4545454546,
prefill,7,27,1,28.0,,116165617.0,,4148772.035714286,,4148772.035714286,4148772.035714286,
prefill,7,28,1,20.0,,83250883.0,,4162544.15,,4162544.15,4162544.15,
prefill,7,29,1,25.0,,104137453.0,,4165498.12,,4165498.12,4165498.12,
prefill,7,30,1,9.0,,37556627.0,,4172958.5555555555,,4172958.5555555555,4172958.5555555555,
prefill,7,31,1,1.0,,4635030.0,,4635030.0,,4635030.0,4635030.0,
prefill,8,0,1,13.0,,54217722.0,,4170594.0,,4170594.0,4170594.0,
prefill,8,1,1,25.0,,103950020.0,,4158000.8,,4158000.8,4158000.8,
prefill,8,3,1,15.0,,63851361.0,,4256757.4,,4256757.4,4256757.4,
prefill,8,4,1,16.0,,66382727.0,,4148920.4375,,4148920.4375,4148920.4375,
prefill,8,5,1,40.0,,166455612.0,,4161390.3,,4161390.3,4161390.3,
prefill,8,6,1,17.0,,70798025.0,,4164589.705882353,,4164589.705882353,4164589.705882353,
prefill,8,7,1,18.0,,75000061.0,,4166670.0555555555,,4166670.0555555555,4166670.0555555555,
prefill,8,8,1,40.0,,166127523.0,,4153188.075,,4153188.075,4153188.075,
prefill,8,9,1,20.0,,83253744.0,,4162687.2,,4162687.2,4162687.2,
prefill,8,10,1,3.0,,12773153.0,,4257717.666666667,,4257717.666666667,4257717.666666667,
prefill,8,11,1,6.0,,25063967.0,,4177327.8333333335,,4177327.8333333335,4177327.8333333335,
prefill,8,13,1,21.0,,87463469.0,,4164927.095238095,,4164927.095238095,4164927.095238095,
prefill,8,14,1,4.0,,16761603.0,,4190400.75,,4190400.75,4190400.75,
prefill,8,15,1,30.0,,124675152.0,,4155838.4,,4155838.4,4155838.4,
prefill,8,16,1,37.0,,153691129.0,,4153814.2972972975,,4153814.2972972975,4153814.2972972975,
prefill,8,17,1,16.0,,66551293.0,,4159455.8125,,4159455.8125,4159455.8125,
